	name	query	labels	address	postal no.	postal name	coord. x	coord. y
6669	Watami Valby	Restaurant	['Restaurant']	Valby Langgade 80	2500	Valby	12.5119181	55.6660919
6670	Gorm's Tivoli ApS	Restaurant	['Restauranter i Tivoli', 'Pizzeria', 'Restaurant']	Bernstorffsgade 3	1577	København V	12.5657845	55.6738014
6671	Oasen Hvidovre ApS	Restaurant	['Restaurant']	Sadelmagerporten 4	2650	Hvidovre	12.4542179	55.6263046
6672	B 4 U	Restaurant	['Restaurant']	Fjeldhammervej 15	2610	Rødovre	12.4404230	55.6747704
6673	Hatoba Sushi ApS	Restaurant	['Restaurant']	Bredgade 29	1260	København K	12.5883942	55.6823006
6674	Salt Restaurant & Bar	Restaurant	['Restaurant']	Toldbodgade 24	1253	København K	12.5934000	55.6815300
6675	Måløv Sushi Wok ApS	Restaurant	['Restaurant']	Måløv Hovedgade 52	2760	Måløv	12.3202267	55.7491150
6676	Vandkunstens Sandwich & Salatbar	Restaurant	['Sandwichbarer', 'Restaurant']	Torvegade 29	1400	København K	12.5904398	55.6731033
6677	Mcdonalds Roskilde 1	Restaurant	['Restaurant']	Københavnsvej 118, st. sal.	4000	Roskilde	12.1158504	55.6423302
6678	Restaurant Lola ApS	Restaurant	['Restaurant']	Christianshavns Voldgade 50	1424	København K	12.5961027	55.6714363
6679	The Union Kitchen	Restaurant	['Restaurant']	Store Strandstræde 21, st. sal.	1255	København K	12.5893497	55.6813507
6680	Jj13 ApS	Restaurant	['Restaurant']	Tempovej 1	2750	Ballerup	12.3843651	55.7222672
6681	F.R.B ApS	Restaurant	['Restaurant']	Tuborg Boulevard 12	2900	Hellerup	12.5807381	55.7271614
6682	Gotland Café & vinbar	Restaurant	['Café', 'Vinbarer', 'Restaurant']	Østerbrogade 224, st. sal. 1	2100	København Ø	12.5778179	55.7127609
6683	Me Faxe ApS	Restaurant	['Restaurant']	Torvegade 2B	4640	Faxe	12.1205187	55.2563438
6684	Fb Vesterbrogade ApS	Restaurant	['Restaurant']	Vesterbrogade 41	1620	København V	12.5566101	55.6723824
6685	Sjógæti ApS	Restaurant	['Restaurant']	Esplanaden 7, 3. sal. tv	1263	København K	12.5920019	55.6876183
6686	Fjord Ejendomme 2021 ApS	Restaurant	['Overnatningsfaciliteter', 'Campingpladser', 'Restaurant']	Bygaden 25	4040	Jyllinge	12.1033001	55.7519798
6687	Romus ApS	Restaurant	['Restaurant']	Toldbodvej 55	4581	Rørvig	11.7608995	55.9447899
6688	Snack Lab	Restaurant	['Restaurant']	Scharlingsvej 11	2500	Valby	12.5101738	55.6623878
6689	Strandgreven ApS	Restaurant	['Restaurant', 'Holdingselskaber']	Solrød Center 120, 2. sal. tv	2680	Solrød Strand	12.2219257	55.5326691
6690	Sofias Hus ApS	Restaurant	['Undervisning', 'Restaurant', 'Erhvervslokaler - Udlejning']	Godthåbsvej 6A	2000	Frederiksberg	12.5380888	55.6858406
6691	Wokamok Boltens ApS	Restaurant	['Restaurant']	Gothersgade 8	1123	København K	12.5845881	55.6817589
6692	Enogtredive100 ApS	Restaurant	['Restaurant', 'Caféer, værtshuse, diskoteker mv. - (M)']	Vesterbrogade 87, kl. sal. 1	1620	København V	12.5478115	55.6719971
6693	French Chicken	Restaurant	['Restaurant']	Bagsværd Hovedgade 125	2880	Bagsværd	12.4523716	55.7609673
6694	Pande Sushi ApS	Restaurant	['Restaurant']	Jernbanegade 4A, st. sal.	4800	Nykøbing F	11.8701210	54.7663498
6695	Cafe Au Lait ApS	Restaurant	['Restaurant']	Storgade 2	4180	Sorø	11.5559092	55.4314079
6696	Islands Brygge Wok	Restaurant	['Restaurant']	Leifsgade 13, st. sal. tv	2300	København S	12.5800638	55.6639252
6697	Cocks & Cows Lyngby	Restaurant	['Fastfood-spisesteder', 'Restaurant']	Lyngby Hovedgade 78	2800	Kongens Lyngby	12.5054007	55.7688789
6698	Restaurant Silo	Restaurant	['Restaurant']	Helsinkigade 29, 17. sal.	2150	Nordhavn	12.5978928	55.7080650
6699	Bjørnekælderen	Restaurant	['Restaurant']	Frederiksberg Alle 55	1820	Frederiksberg C	12.5374355	55.6740341
6700	Cwn-Bowl ApS	Restaurant	['Drift af sportsanlæg', 'Restaurant']	Hjortevænget 23	4050	Skibby	11.9724064	55.7419891
6701	Haidan ApS	Restaurant	['Restaurant']	Nordre Toldbod 18	1259	København K	12.5997763	55.6902046
6702	Viftens Bistro ApS	Restaurant	['Restaurant']	Rødovre Parkvej 132	2610	Rødovre	12.4564342	55.6819382
6703	Olioli Nordhavn	Restaurant	['Restaurant']	Göteborg Plads 14	2150	Nordhavn	12.5976868	55.7071342
6704	Driftselskabet Jk Af 1.11.2012 ApS	Restaurant	['Restaurant']	Store Kongensgade 62B, st. sal. tv	1264	København K	12.5878973	55.6837883
6705	Havnegrillen I Kalundborg	Restaurant	['Restaurant']	Vestre Havneplads 3	4400	Kalundborg	11.0861626	55.6776581
6706	Made Ndr Frihavnsgade	Restaurant	['Restaurant']	Nordre Frihavnsgade 7	2100	København Ø	12.5783901	55.7001953
6707	Mkte ApS	Restaurant	['Restaurant']	Hvidovrevej 106	2650	Hvidovre	12.4732952	55.6614761
6708	N/F Olioli 5 ApS	Restaurant	['Restaurant']	Pilestræde 40B, 2. sal.	1112	København K	12.5801563	55.6810684
6709	Dalle Valle Fields	Restaurant	['Restaurant', 'Café']	Arne Jacobsens Allé 12	2300	København S	12.5758924	55.6310005
6710	Sushi Deli	Restaurant	['Restaurant']	Vesterbrogade 74	1620	København V	12.5514965	55.6728287
6711	Pingpong Kitchen And Bottleshop ApS	Restaurant	['Restaurant']	Dronningens Tværgade 8A	1302	København K	12.5879555	55.6835518
6712	Dang Dang Asian Flavours ApS	Restaurant	['Restaurant']	Nordre Toldbod 18	1259	København K	12.5997763	55.6902046
6713	Iki ApS Af 02.01.2017	Restaurant	['Restaurant']	Vesterbrogade 113, st. sal.	1620	København V	12.5441179	55.6710625
6714	Masala Corner And Burger Corner	Restaurant	['Restaurant']	Emdrupvej 149	2400	København NV	12.5343399	55.7227898
6715	Jl Management Consulting ApS	Restaurant	['Restaurant']	Århusgade 79, st. sal. tv	2100	København Ø	12.5836964	55.7066002
6716	Lokalkompagniet ApS	Restaurant	['Restaurant', 'Gaveartikler']	Algade 24, 1. sal.	4500	Nykøbing Sj	11.6685524	55.9223137
6717	Sult	Restaurant	['Café', 'Restaurant']	Gothersgade 55	1123	København K	12.5785913	55.6831245
6718	Happy Cooking ApS	Restaurant	['Restaurant']	Høkerboderne 12	1712	København V	12.5571299	55.6682167
6719	Demir Invest ApS	Restaurant	['Holdingselskaber', 'Restaurant']	Robinievej 8	2620	Albertslund	12.3400822	55.6671791
6720	Cafe Maya ApS	Restaurant	['Café', 'Pizzeria', 'Erhvervsrengøring', 'Restaurant']	Strandbakkevej 1	3220	Tisvildeleje	12.0756998	56.0596657
6721	Cafe Saseline ApS	Restaurant	['Restaurant']	Vesterbrogade 4A	3250	Gilleleje	12.3057356	56.1258240
6722	Cafe-Sesa ApS	Restaurant	['Restaurant']	Søhesten 32	2635	Ishøj	12.3896990	55.6105919
6723	Fast Delivery ApS	Restaurant	['Indisk takeaway', 'Restaurant']	Eddagården 3, st. sal. tv	2200	København N	12.5531950	55.7004051
6724	Torvets Brasserie 1 ApS	Restaurant	['Restaurant']	Centrumgaden 2B	2750	Ballerup	12.3608322	55.7317848
6725	Kanton27 ApS	Restaurant	['Restaurant']	Solbjergvej 8	2000	Frederiksberg	12.5315294	55.6810570
6726	Cafe Promenaden ApS	Restaurant	['Restaurant']	Vognmagergade 8B	1120	København K	12.5782909	55.6826744
6727	Traktørstedet Vestamager ApS	Restaurant	['Restaurant']	Granatvej 9	2770	Kastrup	12.5746441	55.6146622
6728	Melsted Restaurant ApS	Restaurant	['Restaurant']	Bregnerødvej 139	3460	Birkerød	12.4006023	55.8385963
6729	Garnvärk ApS	Restaurant	['Stofbutik, sybutik', 'Undervisning i kulturelle discipliner', 'Restaurant']	Jernbanegade 16	3480	Fredensborg	12.3990116	55.9788094
6730	Super Bao North ApS	Restaurant	['Take away', 'Restaurant']	Boeslundevej 87	2700	Brønshøj	12.4735985	55.7021179
6731	Restaurant Vigen	Restaurant	['Danske restauranter']	Baunehøjvej 5	4000	Roskilde	12.0816364	55.6733170
6732	Vifest ApS	Restaurant	['Restaurant']	Geels Plads 2	2830	Virum	12.4745150	55.7952576
6733	Yemma's Kitchen ApS	Restaurant	['Restaurant']	Vesterbrogade 122, kl. sal. th	1620	København V	12.5434580	55.6712074
6734	Muld ApS	Restaurant	['Økologiske produkter', 'Restaurant']	Eriksholmvej 26	4390	Vipperød	11.7587643	55.6847878
6735	Midtown Virgin	Restaurant	['Restaurant']	Jernbanevej 4	2600	Glostrup	12.3987303	55.6651268
6736	TBJ Nørrebro - Tommi's Burger Joint	Restaurant	['Fastfood-spisesteder', 'Restaurant']	Nørrebrogade 153, st. sal. th	2200	København N	12.5482445	55.6943626
6737	Cafe Korn Slagelse	Restaurant	['Restaurant']	Gl.Torv 3, st. sal.	4200	Slagelse	11.3547382	55.4026031
6738	The Packhouse ApS	Restaurant	['Restaurant']	Overgaden Neden Vandet 19A, st. sal.	1414	København K	12.5902853	55.6725197
6739	Akvariet A/S	Restaurant	['Restaurant']	Jægersborg Alle 1A	2920	Charlottenlund	12.5858049	55.7488632
